JobTitle,BasePay,OvertimePay,OtherPay,Year,TotalPay,TotalPayBenefits,Agency
Special Nurse,46240.64,0.0,7711.9,2013,53952.54,61846.26,San Francisco
Management Assistant,44644.01,0.0,160.55,2013,44804.56,61839.69,San Francisco
Police Officer,46403.6,754.95,929.31,2013,48087.86,61838.2,San Francisco
Special Nurse,53409.2,5240.05,3150.31,2013,61799.56,61799.56,San Francisco
Clerk Typist,42588.0,0.0,0.0,2013,42588.0,61796.76,San Francisco
Library Page,39740.8,0.0,531.3,2013,40272.1,61795.84,San Francisco
Senior Clerk Typist,43180.83,0.0,0.0,2013,43180.83,61790.23,San Francisco
Deputy Sheriff 1,40741.5,1254.07,1783.4,2013,43778.97,61786.55,San Francisco
Sheriff's Cadet,38288.7,818.96,758.19,2013,39865.85,61784.98,San Francisco
Special Nurse,58049.21,1204.12,1919.5,2013,61172.83,61784.59,San Francisco
Media/Security Sys Spec,44048.38,0.0,863.18,2013,44911.56,61780.82,San Francisco
PS Aide to Prof,39129.64,502.54,0.0,2013,39632.18,61773.0,San Francisco
Medical Evaluations Assistant,36884.81,4255.08,1869.35,2013,43009.24,61772.9,San Francisco
Police Officer,50913.3,0.0,0.0,2013,50913.3,61767.56,San Francisco
Police Officer,50913.3,0.0,0.0,2013,50913.3,61767.56,San Francisco
Home Health Aide,35995.22,5093.89,250.0,2013,41339.11,61744.46,San Francisco
General Laborer,39653.54,1075.03,907.2,2013,41635.77,61740.4,San Francisco
Sheriff's Cadet,38539.78,41.26,1024.33,2013,39605.37,61723.23,San Francisco
Library Technical Assistant 1,43934.88,0.0,515.28,2013,44450.16,61722.48,San Francisco
Senior Eligibility Worker,40295.52,104.81,6346.46,2013,46746.79,61720.22,San Francisco
Librarian 1,44380.72,0.0,971.35,2013,45352.07,61699.99,San Francisco
Electrician,46602.8,2376.38,330.0,2013,49309.18,61692.42,San Francisco
Eligibility Worker,39880.0,2009.59,947.48,2013,42837.07,61664.33,San Francisco
General Laborer,42780.31,0.0,878.81,2013,43659.12,61659.73,San Francisco
Patient Care Assistant,43909.9,0.0,0.0,2013,43909.9,61589.34,San Francisco
Home Health Aide,37821.75,3487.09,261.4,2013,41570.24,61556.38,San Francisco
General Laborer,39436.2,872.9,3743.65,2013,44052.75,61555.92,San Francisco
Account Clerk,43581.5,186.55,0.0,2013,43768.05,61546.53,San Francisco
"Lieutenant, Fire Suppression",44123.2,0.0,4412.32,2013,48535.52,61542.76,San Francisco
Patient Care Assistant,39019.51,953.3,3074.14,2013,43046.95,61539.23,San Francisco
Junior Engineer,42565.0,0.0,1572.94,2013,44137.94,61535.55,San Francisco
Library Assistant,42280.15,0.0,1097.51,2013,43377.66,61528.39,San Francisco
Elections Clerk,39790.4,1083.88,1313.64,2013,42187.92,61524.9,San Francisco
Unit Clerk,41419.8,0.0,2657.14,2013,44076.94,61524.32,San Francisco
Eligibility Worker,43008.44,0.0,520.0,2013,43528.44,61513.55,San Francisco
Research Assistant,41517.68,0.0,0.0,2013,41517.68,61485.02,San Francisco
Patient Care Assistant,40369.7,0.0,3999.5,2013,44369.2,61464.92,San Francisco
Transit Operator,28568.58,7527.49,11934.94,2013,48031.01,61440.48,San Francisco
Eligibility Worker,42814.71,0.0,0.0,2013,42814.71,61440.38,San Francisco
Senior Personnel Analyst,30752.0,0.0,20240.0,2013,50992.0,61429.13,San Francisco
Junior Management Assistant,43045.9,0.0,0.0,2013,43045.9,61420.55,San Francisco
Custodian,39944.83,2841.4,470.4,2013,43256.63,61416.37,San Francisco
Clinical Psychologist,51323.96,0.0,0.0,2013,51323.96,61406.87,San Francisco
Deputy Sheriff 1,40967.5,516.83,1815.38,2013,43299.71,61400.6,San Francisco
Surgical Procedures Technician,41751.21,1143.6,1024.54,2013,43919.35,61362.88,San Francisco
Transit Operator,34065.17,8713.7,2078.96,2013,44857.83,61347.72,San Francisco
Custodian,42390.41,0.0,0.0,2013,42390.41,61321.59,San Francisco
Sewer Maintenance Worker,40511.2,3129.86,1052.71,2013,44693.77,61297.81,San Francisco
General Laborer,43205.56,0.0,0.0,2013,43205.56,61295.27,San Francisco
Employment & Training Spec 3,44477.82,0.0,0.0,2013,44477.82,61292.06,San Francisco
Senior Stationary Engineer,42431.37,0.0,3182.35,2013,45613.72,61284.96,San Francisco
Custodian,41932.64,77.03,489.01,2013,42498.68,61284.47,San Francisco
Account Clerk,43506.74,0.0,0.0,2013,43506.74,61281.17,San Francisco
Special Nurse,41974.98,1186.92,7794.38,2013,50956.28,61267.3,San Francisco
Account Clerk,42485.97,0.0,0.0,2013,42485.97,61248.77,San Francisco
Senior Clerk,38490.38,6619.65,304.06,2013,45414.09,61211.31,San Francisco
Plumber,26473.21,3678.41,21617.62,2013,51769.24,61204.99,San Francisco
Parking Control Officer,38806.82,4226.14,975.42,2013,44008.38,61203.16,San Francisco
Medical Evaluations Assistant,50394.8,174.56,2092.71,2013,52662.07,61188.45,San Francisco
Library Page,40418.32,0.0,287.97,2013,40706.29,61165.55,San Francisco
Junior Management Assistant,42080.0,0.0,0.0,2013,42080.0,61150.38,San Francisco
PS Aide to Prof,40203.0,0.0,472.0,2013,40675.0,61127.06,San Francisco
Clerk,40807.41,0.0,0.0,2013,40807.41,61119.29,San Francisco
Physician Specialist,61112.55,0.0,0.0,2013,61112.55,61112.55,San Francisco
Special Nurse,60498.3,0.0,0.0,2013,60498.3,61103.31,San Francisco
Special Nurse,51453.9,0.0,1918.26,2013,53372.16,61102.4,San Francisco
Junior Administrative Analyst,47396.5,0.0,0.0,2013,47396.5,61063.09,San Francisco
Patient Care Assistant,36918.47,2102.93,7797.37,2013,46818.77,61062.23,San Francisco
Electrical Transit System Mech,39726.5,1890.05,3895.65,2013,45512.2,61053.92,San Francisco
Custodian,40062.78,132.08,3025.57,2013,43220.43,61020.66,San Francisco
Admission Attendant,34144.0,4814.35,4371.04,2013,43329.39,61011.52,San Francisco
Special Nurse,49647.65,860.91,3150.25,2013,53658.81,61008.54,San Francisco
Sheriff's Cadet,32993.23,8692.01,500.0,2013,42185.24,61001.59,San Francisco
Clerk,41225.32,0.0,0.0,2013,41225.32,60968.4,San Francisco
Food Service Worker,23062.15,23806.6,1057.73,2013,47926.48,60966.8,San Francisco
Senior Clerk,41917.61,0.0,0.0,2013,41917.61,60930.46,San Francisco
Public Service Trainee,37800.0,455.0,0.0,2013,38255.0,60863.05,San Francisco
Administrative Analyst I,51604.96,0.0,4041.58,2013,55646.54,60862.23,San Francisco
Principal Clerk,41533.63,879.6,0.0,2013,42413.23,60854.58,San Francisco
Police Officer 3,46045.01,0.0,850.79,2013,46895.8,60837.94,San Francisco
Librarian 1,44181.52,0.0,481.86,2013,44663.38,60826.12,San Francisco
Asphalt Worker,38298.95,833.68,2292.69,2013,41425.32,60825.27,San Francisco
Environmental Service Worker,40190.3,252.62,0.0,2013,40442.92,60822.98,San Francisco
Social Worker,54251.84,0.0,0.0,2013,54251.84,60815.72,San Francisco
Custodian,40128.84,0.0,0.0,2013,40128.84,60770.01,San Francisco
Librarian 1,43895.93,0.0,766.52,2013,44662.45,60765.98,San Francisco
Welder,30640.0,997.34,17924.0,2013,49561.34,60758.01,San Francisco
PS Aide to Prof,38542.8,0.0,0.0,2013,38542.8,60750.7,San Francisco
PS Aide to Prof,38122.58,0.0,0.0,2013,38122.58,60735.34,San Francisco
Transit Operator,37042.07,5471.58,285.58,2013,42799.23,60730.81,San Francisco
Clerk,40327.11,293.47,0.0,2013,40620.58,60718.83,San Francisco
Biologist I/II,40676.97,0.0,4383.96,2013,45060.93,60662.23,San Francisco
Stationary Engineer,33169.54,12459.19,2487.63,2013,48116.36,60631.32,San Francisco
Secretary 2,43083.67,0.0,421.37,2013,43505.04,60630.49,San Francisco
Manager II,27486.0,0.0,22867.21,2013,50353.21,60587.56,San Francisco
Executive Secretary 3,46039.71,62.2,0.0,2013,46101.91,60570.14,San Francisco
Respiratory Care Practitioner,43040.48,937.91,200.0,2013,44178.39,60545.12,San Francisco
Registered Nurse,39918.58,0.0,5813.28,2013,45731.86,60536.54,San Francisco
Clerk,38587.79,464.36,412.89,2013,39465.04,60526.24,San Francisco
