bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors,condition,price
3,1.0,1180,5650,0,1.0,3,221900
3,2.25,2570,7242,400,2.0,3,538000
2,1.0,770,10000,0,1.0,3,180000
4,3.0,1960,5000,910,1.0,5,604000
3,2.0,1680,8080,0,1.0,3,510000
4,4.5,5420,101930,1530,1.0,3,1225000
3,2.25,1715,6819,0,2.0,3,257500
3,1.5,1060,9711,0,1.0,3,291850
3,1.0,1780,7470,730,1.0,3,229500
3,2.5,1890,6560,0,2.0,3,323000
3,2.5,3560,9796,1700,1.0,3,662500
2,1.0,1160,6000,300,1.0,4,468000
3,1.0,1430,19901,0,1.5,4,310000
3,1.75,1370,9680,0,1.0,4,400000
5,2.0,1810,4850,0,1.5,3,530000
4,3.0,2950,5000,970,2.0,3,650000
3,2.0,1890,14040,0,2.0,3,395000
4,1.0,1600,4300,0,1.5,4,485000
2,1.0,1200,9850,0,1.0,4,189000
3,1.0,1250,9774,0,1.0,4,230000
4,1.75,1620,4980,760,1.0,4,385000
3,2.75,3050,44867,720,1.0,3,2000000
5,2.5,2270,6300,0,2.0,3,285000
2,1.5,1070,9643,0,1.0,3,252700
3,2.25,2450,6500,0,2.0,4,329000
3,2.0,1710,4697,0,1.5,5,233000
3,1.75,2450,2691,700,2.0,3,937000
3,1.0,1400,1581,0,1.5,5,667000
3,1.75,1520,6380,730,1.0,3,438000
4,2.5,2570,7173,0,2.0,3,719000
3,2.5,2320,3980,0,2.0,3,580500
2,1.5,1190,1265,0,3.0,3,280000
4,1.75,2330,5000,820,1.5,4,687500
3,1.0,1090,3000,0,1.5,4,535000
4,2.75,2060,6659,780,1.0,3,322500
3,2.5,2300,3060,790,1.5,3,696000
4,1.0,1660,34848,730,1.0,1,550000
4,2.0,2360,6000,0,2.0,4,640000
4,1.0,1220,8075,330,1.0,2,240000
4,2.5,2620,7553,0,2.0,3,605000
4,2.5,2570,5520,0,2.0,3,625000
4,2.25,4220,24186,1620,1.0,3,775000
5,2.75,3595,5639,0,2.0,3,861990
3,1.0,1570,2280,0,2.0,3,685000
3,1.0,1280,9656,360,1.0,4,309000
3,2.5,3160,13603,0,2.0,3,488000
3,1.0,990,8528,0,1.0,3,210490
4,2.5,2290,13416,0,2.0,4,785000
3,1.75,1250,5963,0,1.0,4,450000
3,2.5,2753,65005,588,1.0,5,1350000
3,1.0,1190,9199,0,1.0,3,228000
5,2.5,3150,9134,1510,1.0,4,345000
3,1.75,1410,4080,410,1.0,4,600000
2,1.75,1980,8550,990,1.0,3,585000
5,2.25,2730,6000,600,1.5,3,920000
4,2.5,2830,5000,0,2.0,3,885000
4,2.5,2250,4495,0,2.0,3,292500
3,2.5,2420,4750,0,2.0,3,301000
5,3.25,3250,14342,0,2.0,4,951000
4,3.0,1850,9976,0,2.0,3,430000
3,2.25,2150,21235,560,1.0,4,650000
3,1.75,1260,8400,0,1.0,3,289000
3,1.75,2519,8690,0,2.0,5,505000
3,1.75,1540,1044,0,3.0,3,549000
3,2.25,1660,6000,550,1.0,3,425000
3,2.75,2770,3809,1000,1.5,5,317625
4,2.5,2720,11049,0,2.0,3,975000
4,2.5,2240,4648,0,2.0,3,287000
3,1.0,1000,12070,0,1.0,4,204000
5,2.25,3200,20158,1600,1.0,3,1325000
